Payload,Signature,AttackType,Severity,MITRE,Label,Description
../../proc/self/environ,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
....\....\....\windows\system32\config\system,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
/etc/passwd%00.jpg,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../../var/log/apache2/access.log,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../etc/passwd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
..\..\..\windows\system32\drivers\etc\hosts,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../../var/log/apache2/access.log,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../proc/self/environ,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
/etc/passwd%00.jpg,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
....\....\....\windows\system32\config\system,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
..\..\windows\system32\config\sam,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
....\....\....\windows\system32\config\system,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../etc/passwd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../etc/passwd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
..\..\..\windows\system32\drivers\etc\hosts,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../proc/self/environ,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../etc/passwd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../../etc/shadow,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
....\....\....\windows\system32\config\system,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
../../../etc/passwd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal,Medium,T1083,Malicious,Path Traversal attack attempt
