Payload,Signature,AttackType,Severity,MITRE,Label,Description
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Report generation
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Dashboard data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Inventory lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Notification retrieval
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Notification retrieval
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Document upload
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Dashboard data request
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Inventory lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
John,Normal Query,Normal Query,Low,T1190,Legit,Profile update request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Report generation
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
John,Normal Query,Normal Query,Low,T1190,Legit,Profile update request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Inventory lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Dashboard data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Report generation
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Healthcare department filter
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Standard pagination request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Analytics data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Report generation
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Standard pagination request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Document upload
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Report generation
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Inventory lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Standard pagination request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Report generation
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Standard pagination request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Analytics data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Notification retrieval
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Notification retrieval
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Analytics data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Standard pagination request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Report generation
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Notification retrieval
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Analytics data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
John,Normal Query,Normal Query,Low,T1190,Legit,Profile update request
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Analytics data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Standard pagination request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Inventory lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
John,Normal Query,Normal Query,Low,T1190,Legit,Profile update request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
John,Normal Query,Normal Query,Low,T1190,Legit,Profile update request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Appointment booking
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,User preference update
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Analytics data request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Dashboard data request
john@example.com,Normal Query,Normal Query,Low,T1190,Legit,Standard login request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Patient search by name
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Notification retrieval
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Date-based record lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Inventory lookup
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Healthcare department filter
John,Normal Query,Normal Query,Low,T1190,Legit,Profile update request
malicious_payload,Normal Query,Normal Query,Low,T1190,Legit,Cache cleanup
