Payload,Signature,AttackType,Severity,MITRE,Label,Description
"response.sendRedirect(""http://www.mysite.com"");",Open Redirect,Open Redirect,Medium,T1190,Malicious,Open Redirect payload from comprehensive dataset
<?php,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
/* Redirect browser */,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"header(""Location: http://www.mysite.com"");",Open Redirect,Open Redirect,Medium,T1190,Malicious,Open Redirect payload from comprehensive dataset
?>,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"Response.Redirect(""~/folder/Login.aspx"")",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
redirect_to login_path,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"response.sendRedirect(request.getParameter(""url""));",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
$redirect_url = $_GET['url'];,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"header(""Location: "" . $redirect_url);",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"string url = request.QueryString[""url""];",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
Response.Redirect(url);,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
redirect_to params[:url],Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
#### Dangerous URL Redirect Example 2,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"ASP .NET MVC 1 & 2 websites are particularly vulnerable to open redirection attacks. In order to avoid this vulnerability, you need to apply MVC 3.",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"The code for the LogOn action in an ASP.NET MVC 2 application is shown below. After a successful login, the controller returns a redirect to the returnUrl. You can see that no validation is being performed against the returnUrl parameter.",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
ASP.NET MVC 2 LogOn action in,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
#### Preventing Unvalidated Redirects and Forwards,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
Safe use of redirects and forwards can be done in a number of ways:,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
* Simply avoid using redirects and forwards.,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
* Sanitize input by creating a list of trusted URL's (lists of hosts or a regex).,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"* Force all redirects to first go through a page notifying users that they are going off of your site, and have them click a link to confirm.",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
#### Open Redirect Payload List :,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Medium,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Medium,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Medium,T1190,Malicious,Open Redirect payload from comprehensive dataset
The user sees the link directing to the original trusted site (",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
example.com,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"ASP.NET MVC 2 LogOn action in """,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
AccountController.cs,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
",Open Redirect,Open Redirect,Critical,T1190,Malicious,Open Redirect payload from comprehensive dataset
"response.sendRedirect(""http://www.mysite.com"");",Open Redirect,Open Redirect,Medium,T1190,Malicious,Open Redirect payload from comprehensive dataset
<?php,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
/* Redirect browser */,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"header(""Location: http://www.mysite.com"");",Open Redirect,Open Redirect,Medium,T1190,Malicious,Open Redirect payload from comprehensive dataset
?>,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"Response.Redirect(""~/folder/Login.aspx"")",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
redirect_to login_path,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"response.sendRedirect(request.getParameter(""url""));",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
$redirect_url = $_GET['url'];,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"header(""Location: "" . $redirect_url);",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
"string url = request.QueryString[""url""];",Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
Response.Redirect(url);,Open Redirect,Open Redirect,Low,T1190,Malicious,Open Redirect payload from comprehensive dataset
