Payload,Signature,AttackType,Severity,MITRE,Label,Description
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../user/1,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../other_user/profile,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../sensitive/data,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
/admin/config,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../../../admin,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
../admin/all_patients,Healthcare IDOR,Healthcare IDOR,High,T1078,Malicious,Healthcare IDOR attempting to access unauthorized patient records
