Payload,Signature,AttackType,Severity,MITRE,Label,Description
ftp://internal.server.com/api,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
* [Jira](https://github.com/assetnote/blind-ssrf-chains#jira),SQLi,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
* [JBoss](https://github.com/assetnote/blind-ssrf-chains#jboss),SQLi,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
ldap://internal.server.com:27017/health,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
dict://127.0.0.1:11211:80,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
ftp://internal.server.com:6379/config,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
ldap://internal.server.com/api,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
ftp://internal.server.com/health,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
* Daemon socket option: <https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-socket-option>,SQLi,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
dict://127.0.0.1:11211:6379/status,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
dict://127.0.0.1:11211:80/,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
ftp://internal.server.com/config,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
dict://127.0.0.1:11211/stats,SSRF,Server Side Request Forgery,High,T1190,Malicious,Advanced Server Side Request Forgery variant
dict://127.0.0.1:11211:6379/health,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
gopher://127.0.0.1:25:80,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
dict://127.0.0.1:11211:80/health,SSRF,Server Side Request Forgery,High,T1190,Malicious,Server Side Request Forgery attack attempt
