Payload,Signature,AttackType,Severity,MITRE,Label,Description
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' UNION SELECT @@version--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1 LIMIT 1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
"' UNION SELECT username,password FROM users--",SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
"' UNION SELECT username,password FROM users--",SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
1' ORDER BY 1--+,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1 LIMIT 1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
admin'--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
1' ORDER BY 1--+,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'admin')--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
admin'--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' UNION SELECT @@version--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' UNION SELECT @@version--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; DROP TABLE users--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1 LIMIT 1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
"' UNION SELECT username,password FROM users--",SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; DROP TABLE users--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1 LIMIT 1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'admin')--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1 LIMIT 1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
1' ORDER BY 1--+,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
admin'--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; DROP TABLE users--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1 LIMIT 1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
1' ORDER BY 1--+,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
"' UNION SELECT username,password FROM users--",SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; EXEC xp_cmdshell('dir')--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; DROP TABLE users--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
admin'--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'admin')--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
admin'--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' UNION SELECT @@version--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; DROP TABLE users--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
1' ORDER BY 1--+,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR '1'='1,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'admin')--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' UNION SELECT @@version--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
"' UNION SELECT username,password FROM users--",SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; EXEC xp_cmdshell('dir')--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'; DROP TABLE users--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' AND 1=1--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
admin'--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
'admin')--,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
' OR 1=1#,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
1' ORDER BY 1--+,SQL Injection,SQL Injection,Critical,T1190,Malicious,SQL Injection attack attempt
